Force,Action to be taken by another organisation,Awaiting court outcome,Court case unable to proceed,Court result unavailable,Defendant found not guilty,Defendant sent to Crown Court,Formal action is not in the public interest,Further investigation is not in the public interest,Investigation complete; no suspect identified,Local resolution,Offender deprived of property,Offender fined,Offender given a caution,Offender given a drugs possession warning,Offender given absolute discharge,Offender given community sentence,Offender given conditional discharge,Offender given penalty notice,Offender given suspended prison sentence,Offender ordered to pay compensation,Offender otherwise dealt with,Offender sent to prison,Suspect charged as part of another case,Unable to prosecute suspect,Under investigation,(blank)
Avon and Somerset Constabulary,615,7788,3218,22427,5968,78,8111,397,257570,15095,224,5914,22041,6933,163,11972,5207,3756,3153,794,1756,12094,6772,65313,162852,336152
Bedfordshire Police,365,1445,1457,7603,2366,16,939,14,107190,8436,47,2420,6320,1708,25,3012,1033,771,1232,234,604,3212,1066,28298,3516,122566
British Transport Police,,,,,,,,,,,,,,,,,,,,,,,,,,218438
Cambridgeshire Constabulary,,2785,556,21221,1107,15,2179,,134991,6360,24,487,7973,3880,4,1445,315,2575,1068,89,236,2441,2021,33474,4878,138420
Cheshire Constabulary,7,3554,1096,8783,2647,38,1809,133,128093,5660,114,3806,5760,1304,63,5664,3183,1063,2165,168,589,5304,1601,30093,24327,213018
City of London Police,1,276,147,1348,326,6,140,7,15393,220,16,431,1371,809,1,315,199,172,278,16,54,973,69,1723,2311,6842
Cleveland Police,1,2516,2129,14061,3407,36,2622,287,103676,3432,100,3759,9106,1671,223,6617,3259,1585,1694,571,2915,5562,1630,33355,3580,216078
Cumbria Constabulary,,2400,525,11650,1312,9,208,,46168,4219,55,2711,6626,1427,24,3331,654,1150,947,182,338,3493,373,17912,14906,104223
Derbyshire Constabulary,44,3555,2969,5946,5567,34,669,278,136197,17529,177,3385,8369,4232,55,7324,2553,2471,3328,388,1216,11671,1823,24555,14000,236825
Devon & Cornwall Police,,1931,4599,3855,6046,55,1208,,198093,25338,387,4992,19006,6487,69,9845,5068,2742,5191,796,1936,11145,3007,58909,33771,245220
Dorset Police,752,1993,707,10872,1119,12,3193,128,92883,3101,55,1239,5735,1188,14,1829,1834,906,719,149,651,3079,323,17799,34849,146574
Durham Constabulary,88,1376,2049,3847,3584,37,1019,588,90585,8826,90,2380,11084,1727,163,6496,3404,2428,2198,756,1259,6894,2509,7792,7187,142951
Dyfed-Powys Police,27,566,524,2500,1000,4,685,186,31388,2735,87,2532,7875,3344,30,2273,1482,1872,579,77,386,1769,83,15848,17485,100072
Essex Police,,4430,3282,20186,5257,46,16974,,294686,18565,211,6210,16803,5263,228,10716,3745,4034,4400,907,1376,10183,1894,42519,42337,280813
Gloucestershire Constabulary,,1985,356,10938,792,4,498,,84718,5461,29,752,5142,1614,8,1777,678,619,647,167,212,2067,1842,18301,7117,128154
Greater Manchester Police,250,6635,3897,40012,11006,193,5080,2134,628407,41578,495,6001,22516,8854,206,22621,8301,5902,6266,608,2641,27387,2741,95209,38492,666963
Gwent Police,,2725,135,17640,327,,496,,85290,2422,32,786,7855,1426,14,868,339,3336,355,41,198,1280,698,24586,19974,129198
Hampshire Constabulary,267,2481,2352,28120,4578,19,5154,,241403,11139,161,5475,13504,7088,104,7709,3495,4317,3030,985,1341,5982,2326,75287,46711,361988
Hertfordshire Constabulary,91,309,3380,1706,4985,37,4,10,194642,2858,150,8298,13310,6185,52,7074,2760,5581,3659,586,1026,7525,955,3173,16965,158202
Humberside Police,103,3442,1833,13609,3904,41,733,117,139012,6193,260,2567,8407,1592,209,7017,5331,2350,3798,424,971,9402,1998,60525,47260,115536
Kent Police,2997,2232,5455,9122,7423,62,173,,244923,9462,129,5203,20069,4267,81,11787,6264,6027,4697,394,2098,15668,3494,101583,40940,268531
Lancashire Constabulary,7,5933,2648,22415,8095,4,593,,263734,18307,208,4964,17385,1908,195,11198,6222,2620,3388,1049,1522,11255,2447,47050,37433,410238
Leicestershire Police,,3692,1098,20782,1561,1,2098,,172729,7743,80,1021,9661,2224,22,2903,1136,1762,1279,177,490,3657,2003,35472,17273,120399
Lincolnshire Police,,908,1161,3934,1508,40,1538,,98594,5109,112,2208,6388,1470,37,3794,2238,1459,1618,421,640,3219,780,17838,21737,117191
Merseyside Police,,3892,2731,19604,6405,57,9149,,244837,7647,273,8750,12401,9408,272,11638,6036,11488,5238,470,1133,11518,867,27072,66269,303580
Metropolitan Police Service,,20263,17057,84454,55366,267,19,,1670247,21477,1991,39953,113422,75681,632,47016,23105,37905,24442,2930,4496,55137,9666,109,1231912,1486262
Norfolk Constabulary,,2793,1738,7776,3273,25,6927,,87163,3746,183,3349,11160,2122,77,4238,3566,1620,2570,984,1136,4827,923,11811,45884,138072
North Wales Police,130,1922,1537,4214,2500,15,1789,147,82318,6469,32,3835,5994,1765,15,5141,1533,1813,2323,384,488,4056,542,27190,24479,128238
North Yorkshire Police,13,1950,1972,7988,3345,26,2814,244,89724,9713,114,2745,6510,2885,98,6463,3098,1144,1866,421,860,5233,1009,21104,5033,168835
Northamptonshire Police,296,3048,1059,14343,1587,10,1233,,122972,8403,24,958,8216,2005,45,2054,1339,732,965,86,177,2182,2368,32277,19384,168893
Northumbria Police,,3826,3979,21472,6607,132,3,,212845,2983,366,5960,23160,3895,2003,10467,10241,2833,4793,1473,1542,8684,2693,52,62506,376743
Nottinghamshire Police,1050,4856,2687,11357,6734,44,1766,450,215962,15542,208,3805,14961,4328,93,7870,4506,1155,5041,538,989,10793,1244,14391,15654,201081
Police Service of Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,806628
South Wales Police,64,6820,2818,24761,6332,26,1288,131,229496,6061,96,8370,13840,2173,77,8057,2524,4268,2598,185,1931,12196,1757,66714,33727,212980
South Yorkshire Police,,4858,2923,19212,6168,62,298,,302370,14937,169,2996,10740,3422,209,11437,4952,5107,4069,377,1110,13331,5523,46791,15917,442295
Staffordshire Police,2127,3589,2747,17982,5016,32,2523,221,136233,15056,79,4387,10021,2518,24,6101,2684,1650,2118,245,619,6131,1934,75373,7373,176472
Suffolk Constabulary,,2075,108,19724,207,13,3874,,98542,11603,33,474,7271,2016,16,571,328,1291,415,156,130,673,570,14158,32564,112444
Surrey Police,,1724,1031,7771,2392,19,457,,168683,6003,38,3078,6483,1682,19,2943,1313,1861,1229,322,388,2871,469,62,28532,174546
Sussex Police,220,4417,1844,32605,3571,39,8600,1620,236988,15546,119,3375,20230,4238,89,6103,3738,3012,2206,381,618,3835,1168,64863,16652,277989
Thames Valley Police,3279,5217,4251,25455,8832,83,3008,917,358970,15457,220,8548,23670,5873,83,10516,4934,9051,4787,835,1515,11460,5025,67362,37691,211157
Warwickshire Police,,1100,722,4000,1223,11,17,,82803,3483,97,1229,5536,1349,30,2542,861,1309,889,317,366,2737,992,20073,10292,95159
